Título,Duración,Dificultad,Ingredientes
Peras al vino tinto con helado de mazapán,9h 42min,fácil,"['Helado', 'NataLíquida', 'Mazapán', 'LecheCondensada', 'Las', 'Pera', 'Al', 'VinoTinto', 'Pera', 'Uva', 'Tinta', 'VinoTinto', 'EspeciasNavideñas']"
Sopa Mulligatawny,36min,fácil,"['Chalotes', 'Zanahoria', 'Cebolletas', 'Jengibre', 'AceiteVegetal', 'Pasta', 'Curry', 'Madrás', 'Mango', 'Guindilla', 'NoPicante', 'Manzana', 'CaldoDePollo', 'LecheDeCoco', 'CúrcumaMolida', 'PechugaDePollo', 'Sal', 'Pimienta']"
Fondue en panecillos para fiestas,34min,medio,"['Ajo', 'Gruyer', 'Emmental', 'Appenzeller', 'VinoBlanco', 'Panecillos', 'Maicena', 'Kirsch', 'Aguardiente', 'Cereza', 'ZumoDeLimón', 'Sal', 'Pimienta', 'NuezMoscada']"
Ponche Feuerzangen-bowle,35min,fácil,"['Naranjas', 'VinoTinto', 'Clavos', 'Canela', 'Ron', 'DoradoCono', 'Azúcar', 'Feuerzange', 'Cuchillos']"
Dulce de membrillo,11h 5min,fácil,"['Membrillos', 'Azúcar', 'AzúcarMoreno']"
Ragú de jabalí,1h 26min,fácil,"['Cebollas', 'Zanahorias', 'Apionabo', 'Apio', 'Ajo', 'AceiteDeOliva', 'Carne', 'Jabalí', 'HarinaDeRepostería', 'Especias', 'Carne', 'Caza', 'Sal', 'Pimienta', 'Tomate', 'VinoTinto', 'Vino', 'Oporto', 'Carne', 'Caza', 'Tomillo', 'ArándanosRojos']"
Trufas al ron,1h 10min,fácil,"['ChocolateNegro', 'Mantequilla', 'Cacao', 'Ron', 'ChocolateNegro']"
Asado de carne marinada,3h,medio,"['Carne', 'Ternera', 'CebollaDulce', 'Zanahorias', 'Puerro', 'Grueso', 'Apionabo', 'Vinagre', 'Aguardiente', 'PimientaNegra', 'Pimienta', 'Enebrinas', 'Laurel', 'Clavos', 'Salsa', 'Cebollas', 'Zanahorias', 'Apionabo', 'Puerro', 'Grueso', 'AceiteDeGirasol', 'Carne', 'Pan', 'Especias', 'NataLíquida', 'VinagreBalsámico', 'Sal', 'Pimienta', 'ArándanosRojos']"
Curry de guisantes amarillos con gambas,1h 17min,fácil,"['Perejil', 'Jengibre', 'Cebollas', 'Ajos', 'AceiteDeOliva', 'GaramMasala', 'CominoMolido', 'CúrcumaMolida', 'Orégano', 'Tomates', 'Enteros', 'GuisantesAmarillos', 'Sal', 'Pimienta', 'Gambas']"
Jambalaya,30min,fácil,"['Ajo', 'Chalotes', 'Tomates', 'Apio', 'Tomate', 'Arroz', 'CaldoDeAve', 'Sal', 'PechugaDePolloAmbas', 'Pimienta', 'PimentónAhumado', 'Guindilla', 'AceiteDeOliva', 'SalchichasDeCerdo', 'PimientoVerde', 'ZumoDeLimón', 'PerejilPicado']"
"Pollo con crema al vino blanco, champiñones y arroz",1h 14min,medio,"['Pollo', 'Entero', 'Sal', 'Pimienta', 'AceiteVegetal', 'Champiñones', 'Chalotes', 'Ajo', 'VinoBlanco', 'CaldoDePollo', 'ArrozBasmati', 'Arroz', 'Salvaje', 'Perejil', 'Nata', 'QuesoAzul', 'Panecillo']"
Sorbete de Campari,10h 41min,fácil,"['Azúcar', 'ClaraDeHuevo', 'Campari', 'ZumoDeNaranja']"
Rosca de pan de espelta,2h,fácil,"['Rosca', 'Tomates', 'Aceite', 'JarabeDeRemolacha', 'Levadura', 'HarinaDeEspelta', 'HarinaDeEspeltaIntegral', 'Sal', 'Extracto', 'HarinaDeEspelta', 'HarinaDeEspelta']"
Bolitas de mazapán,1h 30min,fácil,"['Azúcar', 'Almendras', 'ClaraDeHuevo', 'Sal', 'Mazapán', 'Aroma', 'Ron', 'Harina', 'HarinaDeAlmendra']"
Dados de bizcocho rayado con chocolate,2h 57min,medio,"['Huevos', 'Sal', 'Almendras', 'Mantequilla', 'Azúcar', 'AzúcarAvainillado', 'Ron', 'HarinaDeRepostería', 'Maicena', 'Chocolate', 'ChocolateNegro', 'AceiteDeCoco', 'Mantequilla', 'PanRallado']"
Lionesas con nata y fresas,1h 25min,medio,"['Azúcar', 'NataLíquida', 'Fresas', 'Pasta', 'Mantequilla', 'Sal', 'HarinaDeRepostería', 'Huevos']"
